stream_uid,delivery_stream,type,timestamp,context_data,context_data_type,date_created,status,assistant_id,record_id
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120643357972541,,0,1633053574.91621,1,unknown,5B699F3C-CFAA-4F3D-AD35-8D0FBC112B66
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120643357969500,,0,1633053574.91621,1,unknown,1293BE05-A047-4622-A323-E49F9F09A08C
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120643420123791,,0,1633053574.91621,1,unknown,2EC458EF-4805-4B33-881B-FA4BDDAC1E2F
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120643357879500,,0,1633053574.91622,1,unknown,F64735C8-4C7C-4FB2-BCD0-391F1F32645A
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120643420131166,,0,1633053574.91622,1,unknown,DD8B5FE4-5301-4956-B56C-E77D1E48EF55
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120733450364500,,0,1633053664.9249,1,unknown,4F20DEAA-3A25-4760-9E00-8863127116C3
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120733450374250,,0,1633053664.92491,1,unknown,9A347129-DB78-4FC0-A9B9-4B13FDCECF65
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1436,120734731277333,,0,1633053664.92492,1,unknown,37A38AE3-B40E-4639-A0A0-8DF42B90DFAC
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1436,120734731258333,,0,1633053664.92492,1,unknown,17E352D9-0E92-4840-80C5-6897B642004A
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120733450376291,,0,1633053664.92492,1,unknown,2BA044CF-B304-43E3-B934-84A9FE0278B8
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1436,120734731273625,,0,1633053664.92492,1,unknown,CC0DC280-9CDA-4B9C-AADA-C68CF34139D5
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,6101,120928875594125,"{""error"":{""code"":4005,""domain"":""kAFAssistantErrorDomain""}}",2,1633053860.34023,1,unknown,0E5B1FB0-6212-4691-ACD3-2AD398900387
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,6101,121533708525375,"{""error"":{""code"":4005,""domain"":""kAFAssistantErrorDomain""}}",2,1633054465.17208,1,unknown,BB02A16F-D850-4CCD-B996-D8B20125861D
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,4575,121783155712583,"{""local_context_type"":""playbackState""}",2,1633054714.69149,1,unknown,E62A881D-255B-48F4-B7E6-2833EB2E5AF1
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,4575,121783150408041,"{""local_context_type"":""playbackState""}",2,1633054714.69157,1,unknown,B6512D68-1130-47EE-8355-3221CF3DD2E5
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,121823242852166,,0,1633054754.72495,1,unknown,F528C523-61B3-4E80-A64F-25E82F13B935
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,121823242888833,,0,1633054754.72503,1,unknown,43A52B93-D75C-4DA3-93EA-E30775FDF9EB
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,121823242891875,,0,1633054754.72503,1,unknown,1AD7A9E0-A98A-4363-BABC-F649117FF12A
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,121823275508708,,0,1633054754.72504,1,unknown,D825CAA3-925F-4607-9640-D520A77169B9
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,121823275511791,,0,1633054754.72505,1,unknown,36476BAF-47D6-4D62-925B-843F7EE1B203
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,121823275513416,,0,1633054754.72505,1,unknown,D27C196B-59F0-43AD-879E-7493E04BFBB7
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,6101,122152753542958,"{""error"":{""code"":4005,""domain"":""kAFAssistantErrorDomain""}}",2,1633055855.03779,1,unknown,EA9A7399-4002-4989-8774-C8A3507FE256
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,6101,122812740025041,"{""error"":{""code"":4005,""domain"":""kAFAssistantErrorDomain""}}",2,1633059061.48577,1,unknown,1BD6F812-699F-4D39-A9B8-1B06B6D37BBD
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,122895536983416,,0,1633059536.73479,1,unknown,25744AD6-2AAD-460A-953E-ABF231D17101
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,122895536953291,,0,1633059536.73492,1,unknown,A85FFF4A-9984-44EE-B1C6-7A9E2110A609
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,122895536979041,,0,1633059536.73493,1,unknown,4EAEED03-C7A9-4AC7-9483-948A8101B20B
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1410,122915455229625,"{""eventSource"":""SiriButtonIdentifierLongPressLockButton""}",2,1633059554.50046,1,unknown,92007F43-70FF-4053-9F09-AB7753DC8304
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,122913278136250,,0,1633059554.50075,1,unknown,A57CC541-CD77-4CE9-9301-FBBD8D372B10
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,122913278134083,,0,1633059554.50075,1,unknown,452CF612-98F7-41C3-AF18-54BC135410F8
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1411,122915599787583,"{""eventSource"":""SiriButtonIdentifierLongPressLockButton""}",2,1633059554.50076,1,unknown,7BF449D6-0FEE-49F6-96C0-8D99E2B19035
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1921,122915462510833,"{""attached"":true}",2,1633059554.50077,1,unknown,C33535A1-FDBD-4451-A471-7B0B985CE5CC
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1920,122915462331875,,0,1633059554.50077,1,unknown,EEC50642-B6F7-4EE0-8CC2-57ABCC26E57C
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,122913278119791,,0,1633059554.50078,1,unknown,BA8CCD73-044C-47B0-96E4-B627FE49EBF5
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,122980663955875,,0,1633059717.4275,1,unknown,06268DAF-35DA-4C92-A17B-D00789AE2ED8
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1436,122982568947875,,0,1633059717.42753,1,unknown,8FA36C2E-5A8B-4896-9F34-4313E9A04C7B
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,122980663947750,,0,1633059717.42753,1,unknown,46273148-6260-4B6B-80E8-B8DA6D903D12
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1436,122982568967083,,0,1633059717.42754,1,unknown,B0533920-3131-4296-B612-5F8E9B198E3F
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,122980663957541,,0,1633059717.42754,1,unknown,D1FBC49F-F3CA-45C6-B842-2109E610C076
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1436,122982568963541,,0,1633059717.42754,1,unknown,6E788B66-030C-473B-A4DF-DB5EC81357F3
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,123084532008708,,0,1633059820.857,1,unknown,C05A34DD-2230-4264-82AD-0B45C85D549A
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,123084532006583,,0,1633059820.85705,1,unknown,27B60ED6-2C40-4A04-A9C8-B01C9747114B
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1920,123084092237000,,0,1633059820.85705,1,unknown,A1009022-D29B-4121-B38E-C45AAAD6FEB2
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,123084641811500,,0,1633059820.85705,1,unknown,942EEF02-CF1C-4198-8023-EA340EF4DD28
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1410,123084086136791,"{""eventSource"":""SiriButtonIdentifierLongPressLockButton""}",2,1633059820.85705,1,unknown,8530191E-EBF5-4D04-90FB-521FB775D625
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1921,123084094757416,"{""attached"":true}",2,1633059820.85706,1,unknown,9BB7AA46-EB84-4DFF-BDE3-D6FE060182A2
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,123084531996750,,0,1633059820.85706,1,unknown,6759CFCB-FACF-499F-BB1D-6D407E3C9271
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,123084641812958,,0,1633059820.85706,1,unknown,E9362A27-12EB-4D27-B2F6-5D8417DE8E4C
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,123084641799583,,0,1633059820.85707,1,unknown,04C5856A-BD91-4EAE-A740-277B0F4F06E4
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1411,123084235324041,"{""eventSource"":""SiriButtonIdentifierLongPressLockButton""}",2,1633059820.85707,1,unknown,36BCFAF6-6796-44DB-8D09-FCA233FF81C6
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1015,123096260989750,"{""interface_type"":{""wifi"":false,""other"":true,""wired"":false,""loopback"":false,""cellular"":false}}",2,1633059832.06998,1,unknown,1C637106-969A-4D93-8557-1A7BA7BFA8BA
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1016,123096255349375,"{""connectionPreparingPathHasDNS"":true,""connectionPreparingPathIsExpensive"":false,""connectionPreparingPathGateways"":[{""type"":1,""port"":""0""}],""connectionInfo"":""[C86 guzzoni.apple.com:443\/5228 tcp, traffic class: 600, multipath service: 2, tls, attribution: developer, path satisfied (Path is satisfied), interface: en0, ipv4, dns, fallback: {generation: 0}]"",""connectionPreparingPathHasIpv6"":false,""connectionPreparingPathHasIpv4"":true,""connectionPreparingPathIsConstrained"":false,""connectionPreparingPathInterfaces"":[{""type"":1,""name"":""en0"",""index"":12},{""type"":2,""name"":""pdp_ip0"",""index"":3}],""connectionPreparingPathStatus"":1}",2,1633059832.07007,1,unknown,4B3D24EF-EC07-4856-956A-77A564B2A875
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1015,123096428200166,"{""interface_type"":{""wifi"":true,""other"":false,""wired"":false,""loopback"":false,""cellular"":true}}",2,1633059832.07008,1,unknown,2982A4C1-9129-4C22-A5FE-F06FAD33174E
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1017,123096427988083,"{""connectionEstablishmentResolution"":[{""duration"":34,""successfulEndpoint"":{""type"":1,""port"":""443""},""resolutionSource"":2,""preferredEndpoint"":{""type"":1,""port"":""443""},""endpointCount"":1}],""connectionEstablishmentProxyConfiguration"":{""proxyConfigured"":0,""usingConfiguredProxy"":0},""connectionEstablishmentDuration"":174,""connectionInfo"":""[C86 connected guzzoni.apple.com:443\/5228 tcp, traffic class: 600, multipath service: 2, tls, attribution: developer, path satisfied (Path is satisfied), viable, interface: en0, ipv4, dns, expensive]"",""connectionEstablishmentPreviousAttemptCount"":0,""connectionEstablishmentAttemptDelay"":0,""connectionEstablishmentProtocols"":[{""handShakeRTT"":47,""protocol"":""tcp"",""handShakeDuration"":47},{""handShakeRTT"":67,""protocol"":""tls"",""handShakeDuration"":88}]}",2,1633059832.07009,1,unknown,00035B4B-CCC4-41DF-A2DD-2A1A375DDA00
